Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2014,301,Canada,Global Affairs Canada,2.0142E+13,Iraq,Middle East,ODA Grants,1.357835,301,IRAQ CRISIS - EMERGENCY RESPONSE TO SEXUAL AND GENDER-BASED VIOLENCE - PLAN CANADA 2015 / CRISE EN IRAQ - R횋PONSE D URGENCE ? LA VIOLENCE SEXUELLE ET,Iraq Crisis - Emergency Response to Sexual and Gender-Based Violence - Plan Canada 2015,Public Administration,Nineveh,36.54705,43.00871,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-12-23 00:00:00,2015-12-31 00:00:00,"December 2014 - The humanitarian situation in Iraq continues to deteriorate. The violence between armed groups and government forces has displaced an estimated 2 million people from their homes. An estimated 5.2 million people in Iraq have been affected by the conflict and are in need of humanitarian assistance. Basic services, including health care and water infrastructure, are disrupted, resulting in acute humanitarian needs. As fighting and human rights violations persist and international efforts remain to free territory controlled by the so-called Islamic State of Iraq and the Levant (ISIL), the situation is expected to deteriorate and to cause additional displacement.   With DFATD s support, Plan Canada is helping to reduce the vulnerability of internally displaced women and girls affected by the civil unrest in Iraq. Project activities include: (1) establishing women community centres, (2) conducting educational and social activities for women and girl survivors of sexual and gender-based violence (SGBV), (3) running SGBV awareness campaigns in displaced communities, and (4) conducting SGBV community outreach activities to reach women and girls in need. ","Canada, Global Affairs Canada",149,39,149,1183
2014,301,Canada,Global Affairs Canada,2.0142E+13,Iraq,Middle East,ODA Grants,1.357835,301,IRAQ CRISIS -- EMERGENCY RELIEF SUPPLIES AND WINTER SHELTERS -- WORLD VISION CANADA 2014 / CRISE EN IRAK - FOURNITURES DE SECOURS ET ABRIS D HIVER D U,Iraq Crisis -- Emergency Relief Supplies and Winter Shelters -- World Vision Canada 2014,Public Administration,Duhok,36.82991,42.98909,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-09-05 00:00:00,2015-12-31 00:00:00,"September 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.7 million people from their homes. Basic services, including health care and water infrastructure, are disrupted, resulting in acute humanitarian needs. Iraqi Kurdistan is hosting an additional 215,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.   With DFATD s support, World Vision is helping to reduce the vulnerability of 410,500 displaced people in Dohuk Governorate in Iraqi Kurdistan. Project activities include: (1) distributing essential non-food relief items, such as blankets, and mattresses and heaters, (2) providing materials, such as tarps, to help people winterize their shelters, and (3) providing unconditional cash grants to help people meet their emergency survival needs, including medicines, clothing and rent. ","Canada, Global Affairs Canada",150,39,150,1093
2014,5,Germany,Federal Foreign Office,2014010558,Iraq,Middle East,ODA Grants,1.354667,302,"INSTITUTIONAL SUPPORT, DAAD","institutional support, DAAD",Education,Baghdad,33.31472,44.34482,11420,Higher education,114,I.1.d. Post-Secondary Education,2014-01-01 00:00:00,2014-12-31 00:00:00,"In 2014, the German Academic Exchange Service (DAAD) provided institutional support to higher education institutions in Iraq, aiming to enhance academic cooperation and capacity building. This initiative focused on strengthening university structures and individual capacities through various measures such as introducing new study programs, providing scholarships, training university staff, organizing conferences, and facilitating networking activities. The goal was to leverage the potential of university cooperation for conflict resolution and prevention in the region.","Germany, Federal Foreign Office",27,16,27,92
2017,10,Sweden,Swedish International Development Authority,2017061563C,Iraq,Middle East,ODA Grants,1.349713,10,ISLAMIC RELIEF HUMANITARIAN ASSISTANCE 2017-2019,Islamic Relief Humanitarian Assistance 2017-2019,Public Administration,Nineveh,36.33807,43.12075,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-03-01 00:00:00,2020-12-31 00:00:00,"Between 2017 and 2019, Islamic Relief Sweden, in collaboration with Islamic Relief Worldwide, received Swedish funding to implement humanitarian assistance programs in Iraq. These programs aimed to address the urgent needs of internally displaced persons (IDPs), returnees, and host communities affected by ongoing conflicts. Key interventions included the provision of food assistance, non-food items, shelter support, and access to clean water and sanitation facilities. Additionally, the programs focused on enhancing livelihoods through cash-for-work initiatives and providing psychosocial support to vulnerable populations. The funding allowed for a flexible and adaptive response to the evolving humanitarian situation, ensuring timely and effective assistance to those in need","Sweden, Swedish International Development Authority",48,39,48,105
2021,12,United Kingdom,Conflict stability and security fund,2021003990,Iraq,Middle East,ODA Grants,1.349361,12,ADMINISTRATIVE COSTS OF ODA PROJECTS,Administrative Costs of ODA Projects,Other,Baghdad,33.31215,44.39646,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,2021-01-01 00:00:00,2021-12-31 00:00:00,"The ""Administrative Costs of ODA Projects in Iraq"" initiative in 2016 encompassed the facilitation expenses associated with planning, implementing, and resourcing Official Development Assistance (ODA) projects in Iraq. These administrative costs were essential for the effective management and oversight of development programs, ensuring that resources were utilized efficiently and that projects met their objectives. The funding for these administrative expenses was provided by the UK Government, reflecting its commitment to supporting development efforts in Iraq.","United Kingdom, Conflict stability and security fund",36,43,36,106
2019,742,Korea,Korea International Cooperation Agency,2019163795,Iraq,Middle East,ODA Grants,1.334286,302,ANTI-CORRUPTION AND INTEGRITY IN ARAB COUNTRIES (ACIAC),Anti-Corruption and Integrity in Arab Countries (ACIAC),Public Administration,Baghdad,33.30316,44.3877,15113,Anti-corruption organisations and institutions,151,I.5.a. Government & Civil Society-general,2019-01-01 00:00:00,2023-12-31 00:00:00,Enhancement of region-wide compliance with the UN Convention against Corruption. Reinforcement of the effectiveness of the public administration. Development of region-wide collective action capacity to achieve Sustainable Development Goal 16.,"Korea, Korea International Cooperation Agency",55,46,55,243
2016,5,Germany,Federal Foreign Office,2016007965,Iraq,Middle East,ODA Grants,1.326993,302,HUMANITARIAN ASSISTANCE - FOOD AID FOR INTERNALLY DISPLACED PEOPLE (IDPS),Humanitarian Assistance - Food aid for internally displaced people (IDPs),Public Administration,Erbil,36.1634,44.01538,72040,Emergency food assistance,720,VIII.1. Emergency Response,2016-04-01 00:00:00,2017-07-31 00:00:00,"In 2016, Germany provided humanitarian assistance to internally displaced persons (IDPs) in Iraq, focusing on food aid to support those affected by ongoing conflicts. This assistance was part of Germany's broader commitment to addressing the needs of displaced populations in the region.","Germany, Federal Foreign Office",73,25,73,49
2014,5,Germany,Federal Ministry for Economic Cooperation and Development,2014002422,Iraq,Middle East,ODA Grants,1.326788,302,"OPEN ADVISORY FUND FOR SUSTAINABLE ECONOMIC DEVELOPMENT, IRAQ","Open Advisory Fund for Sustainable Economic Development, Iraq",Industry,Baghdad,33.31535,44.36607,32110,Industrial policy and administrative management,321,III.2.a. Industry,2011-02-23 00:00:00,2015-07-31 00:00:00,Reform measures of the Iraqi government on inclusion and qualification of disadvantaged groups into the labor market and the planning of sustainable public investment are developed and ready for implementation.,"Germany, Federal Ministry for Economic Cooperation and Development",61,47,61,210
2014,5,Germany,Federal Foreign Office,2014008558,Iraq,Middle East,ODA Grants,1.326788,302,HUMANITARIAN ASSISTANCE EMERGENCY FOOD AID,Humanitarian Assistance Emergency food aid,Public Administration,Erbil,36.1634,44.01538,72040,Emergency food assistance,720,VIII.1. Emergency Response,2014-08-10 00:00:00,2014-12-31 00:00:00,"In 2014, Germany provided humanitarian assistance to internally displaced persons (IDPs) in Iraq, focusing on food aid to support those affected by ongoing conflicts. This assistance was part of Germany's broader commitment to addressing the needs of displaced populations in the region.","Germany, Federal Foreign Office",42,25,42,96
2014,5,Germany,Federal Ministry of Defence,2014010899,Iraq,Middle East,ODA Grants,1.326788,302,HUMANITARIAN AID FOR NORTH IRAQ,Humanitarian Aid for North Iraq,Public Administration,Nineveh,36.32393,41.85226,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-01-01 00:00:00,2014-12-31 00:00:00,"In 2014, Germany provided humanitarian assistance to internally displaced persons (IDPs) in northern Iraq, focusing on essential supplies such as food, first aid equipment, and blankets. This aid was delivered through various channels, including direct shipments and coordination with international organizations. For instance, on August 8, 2014, four Bundeswehr (German army) Transall transport planes flew relief supplies of medicines, food, and blankets to Erbil, the capital of the autonomous Kurdish region in northern Iraq. The aid was delivered by United Nations (UN) agencies for distribution to civilians who had fled from the radical Islamic units of ISIS in the Sinjar mountains .","Germany, Federal Ministry of Defence",31,39,31,86
2019,5,Germany,Federal Ministry for Economic Cooperation and Development,2019007388,Iraq,Middle East,ODA Grants,1.320945,302,IMPROVED PROTECTION AND EDUCATION FOR CHILDREN AND YOUTH WITH HEARING DISABILITIES,Improved protection and education for children and youth with hearing disabilities,Infrastructure,Baghdad,33.31535,44.36607,16010,Social Protection,160,I.6. Other Social Infrastructure & Services,2020-01-01 00:00:00,2022-12-31 00:00:00,"The project seeks to improve the educational situation of children with disabilities. At the same time it aims at increasing the awareness of duty bearers for their specific protection needs in Amman, Iraq.","Germany, Federal Ministry for Economic Cooperation and Development",82,17,82,206
2022,302,United States,Agency for International Development,2022038376,Iraq,Middle East,ODA Grants,1.317753,302,TECHNICAL ASSISTANCE,Technical Assistance,Other,Baghdad,33.31973,44.3942,43010,Multisector aid,430,IV.2. Other Multisector,2019-12-04 00:00:00,2026-12-03 00:00:00,"The Support Which Implements Fast Transition 5 (SWIFT 5) project, initiated in 2019 with initial funding from the U.S. Department of State's Bureau of Population, Refugees, and Migration (PRM), aimed to enhance the capacity of Iraq's Central Statistical Organization (CSO) to conduct poverty monitoring through the Survey of Well-Being via Instant and Frequent Tracking (SWIFT). This initiative was part of a broader effort to improve data collection and analysis capabilities in Iraq. The CSO's main office is located in the Al-Jadriya district of Baghdad","United States, Agency for International Development",20,15,20,68
2017,5,Germany,Federal Foreign Office,2017008748,Iraq,Middle East,ODA Grants,1.314468,302,HUMANITARIAN ASSISTANCE - ASSISTANCE FOR IDPS,Humanitarian Assistance - Assistance for IDPs,Public Administration,Kirkuk,35.46555,44.38837,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-02-01 00:00:00,2017-12-31 00:00:00,"In 2016, Germany, through its development cooperation agency GIZ, supported Mission East in providing assistance and psychological support to internally displaced persons (IDPs) in the districts of Ninive, Dohuk, and Kirkuk. This initiative aimed to address the immediate needs of displaced populations affected by conflict, focusing on delivering essential services and mental health support to enhance their well-being and facilitate their recovery.","Germany, Federal Foreign Office",45,39,45,110
2018,301,Canada,Global Affairs Canada,2.0182E+13,Iraq,Middle East,ODA Grants,1.311627,301,WORK EMPOWERMENT FOR WOMEN IN IRAQ/RENFORCER LE POUVOIR DES FEMMES IRAKIENNES SUR LE MARCH횋 DU TRAVAIL,Work Empowerment for Women in Iraq,Public Administration,Baghdad,33.37341,44.39818,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,2018-02-05 00:00:00,2022-11-30 00:00:00,"The project aims to increase protection and access to equitable employment for women in Iraq. Through collaboration with the Iraqi Ministry of Labour and Social Affairs, the Ministry of Justice's Higher Judicial Council, Iraqi law firms, the Iraqi Bar Association, Iraqi trade unions, and local women's community organizations, the project informs women of their rights in the workplace, gives them resources to ensure they are respected, and thereby encourages them to join the workforce.Project activities include: (1) the training of up to 275 women, following which at least 85% will beable to demonstrate knowledge of their rights in the workplace and how to assert them, (2) the establishment of a monitoring and liaison body on gender discrimination and harassment in the workplace. Up to 75 labour court judges and lawyers and up to 120 labour inspectors will be trained for this purpose, and (3) Addressing the social and cultural stigmas inhibiting women's access to work, and providing them with informed narratives that promote the role of Iraqi women in the country's economic revitalization.As a result of this implementation, Iraqi women will be able to enter and remain in the workforce without fear of discrimination or harassment, allowing them to contribute toward Iraq's economic revitalization. ","Canada, Global Affairs Canada",102,30,102,2832
2018,5,Germany,Federal Foreign Office,2018010927,Iraq,Middle East,ODA Grants,1.308385,302,"SPECIAL PROGRAMME FOR THE MIDDLE EAST, PAKISTAN, AFGHANISTAN AND IRAQ, GERMAN ACADEMIC EXCHANGE SERVICE  (DAAD)","Special programme for the Middle East, Pakistan, Afghanistan and Iraq, German Academic Exchange Service  (DAAD)",Education,Nineveh,36.38375,43.14053,11420,Higher education,114,I.1.d. Post-Secondary Education,2018-01-01 00:00:00,2018-12-31 00:00:00,"The measures of the German Academic Exchange Service (DAAD) (e.g. assistance with new study courses, scholarships, training of university staff, conferences, networking activities) shall support academic cooperation with the region Middle East, Pakistan, Afghanistan and Iraq. The goal is to use the potential of university cooperation for conflict resolution and prevention by improving university structures as well as individual capacities of partner countries by training and counselling.","Germany, Federal Foreign Office",111,16,111,492
2019,12,United Kingdom,Department for International Development,2019001182,Iraq,Middle East,ODA Grants,1.301685,12,PROTRACTED CASELOAD IN IRAQ,Protracted caseload in Iraq,Other,Erbil,36.19136,44.00912,43082,Research/scientific institutions,430,IV.2. Other Multisector,2019-04-01 00:00:00,2022-03-31 00:00:00,"In 2014, Daesh's expansion across Iraq set ablaze a major humanitarian crisis, compelling the UK to respond to acute needs, and also to join the counter-Daesh global coalition.  Daesh has now been defeated as a territory-holding force, and increasing numbers of people have returned home.  However, the situation is precarious, and complex humanitarian needs remain for many.    From 2019-2022, DFID Iraq will respond to the acute needs of the most vulnerable, address the complex needs of high-risk protracted caseloads, promote responsible transition to national-led efforts, and fund enabling activities crucial to achieving this.   The funding envelope for this programme reflects that DFID Iraq is planning for the best, but preparing for the worst a seemingly optimistic trajectory one month may belie a precarious situation the next.  DFID Iraq will monitor any deterioration, setting trigger points to indicate if or when we will approach ministers for any critical change in approach.","United Kingdom, Department for International Development",27,32,27,995
2017,302,United States,State Department,2017008882,Iraq,Middle East,ODA Grants,1.3,302,PPRC: FY 2017 SYRIA HUMANITARIAN RESPONSE,Pprc: FY 2017 Syria Humanitarian Response,Public Administration,Baghdad,33.31889,44.3603,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-01-01 00:00:00,2017-12-31 00:00:00,"The U.S. Department of State's Bureau of Population, Refugees, and Migration (PRM) allocated funding in 2017 to the International Organization for Migration (IOM) to support the Syria Humanitarian Response. IOM's efforts included providing emergency assistance to internally displaced persons (IDPs) and host communities in Syria, as well as facilitating the resettlement of Syrian refugees from neighboring countries, including Iraq. In Iraq, IOM's activities encompassed health awareness sessions in Ninewa and Dohuk governorates, and the rehabilitation of schools in Sulaymaniyah, Dohuk, and Erbil governorates","United States, State Department",41,39,41,207
2020,302,United States,Agency for International Development,2020022933,Iraq,Middle East,ODA Grants,1.3,302,HUMANITARIAN COORDINATION,Humanitarian Coordination,Public Administration,Diyala,33.76395,44.6997,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2020-01-01 00:00:00,2021-03-31 00:00:00,"In 2020, the U.S. Department of State's Bureau of Population, Refugees, and Migration (PRM) provided funding to the International Organization for Migration (IOM) to strengthen humanitarian coordination and advocacy efforts in Iraq. This initiative aimed to enhance the effectiveness of the humanitarian response by improving coordination among various actors and advocating for the needs of affected populations. The project supported activities in multiple governorates, including Ninewa, Diyala, and Salah al-Din, focusing on areas with significant humanitarian needs.","United States, Agency for International Development",25,41,25,66
2016,302,United States,State Department,2016008070,Iraq,Middle East,ODA Grants,1.299978,302,CRS PROPOSES TO CONTINUE IMPROVING EDUCATION AND PROTECTION FOR DISPLACED CHILDREN IN IRAQ THROUGH QUALITY LEARNING AND PSYCHOSOCIAL SUPPORT IN DOHUK,Crs Proposes to Continue Improving Education and Protection for Displaced Children in Iraq Through Quality Learning and Psychosocial Support in Dohuk,Public Administration,Erbil,36.24831,43.9841,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"Catholic Relief Services (CRS), with funding from the U.S. Department of State's Bureau of Population, Refugees, and Migration (PRM), continued its efforts in 2016 to improve education and protection for displaced children in Iraq. In Dohuk, CRS operated child support centers that provided safe spaces for children affected by displacement. These centers offered structured activities, psychosocial support, and educational services, aiming to help children cope with trauma and reintegrate into formal education systems. CRS's initiatives in Dohuk were part of a broader strategy to address the needs of displaced populations in northern Iraq.","United States, State Department",149,39,149,192
2015,5,Germany,Federal Foreign Office,2015007249,Iraq,Middle East,ODA Grants,1.299265,302,HUMANITARIAN ASSISTANCE WASH,Humanitarian Assistance WASH,Public Administration,Erbil,36.1634,44.01538,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2015-04-01 00:00:00,2015-12-31 00:00:00,"In 2015, Germany, through its development cooperation agency GIZ, supported humanitarian efforts to improve water, sanitation, and hygiene (WASH) conditions for internally displaced persons (IDPs) in northern Iraq. This assistance aimed to address the urgent needs of displaced populations affected by ongoing conflicts, particularly in the Kurdistan Region. The initiative focused on enhancing access to clean drinking water and improving sanitation facilities to prevent the spread of waterborne diseases and ensure the well-being of vulnerable communities.","Germany, Federal Foreign Office",28,39,28,71
2015,302,United States,Agency for International Development,2015011352rgm,Iraq,Middle East,ODA Grants,1.291773,302,ASIA AND MIDDLE EAST ECONOMIC GROWTH BEST PRACTICES (AMEG) PROJECT - FISCAL POLICY,Asia and Middle East Economic Growth Best Practices (AMEG) Project - Fiscal policy,Public Administration,Baghdad,33.30091,44.4073,15111,Public finance management (PFM),151,I.5.a. Government & Civil Society-general,2012-09-24 00:00:00,2017-09-30 00:00:00,"The Asia and Middle East Economic Growth Best Practices project (AMEG) supports USAID bureaus and missions in Asia, the Middle East, and North Africa with activities such as assessments, strategic planning, diagnostics, and innovative pilot programs. The project focuses on a variety of key issues around economic growth and job creation: public financial management, trade and customs, access to finance, small and medium enterprise development, workforce development, and sustainable livelihoods, particularly for youth and women.","United States, Agency for International Development",82,31,82,532
2021,302,United States,Agency for International Development,2021014964,Iraq,Middle East,ODA Grants,1.29,302,"HEALTH AND IMMUNIZATION RESPONSE SUPPORT (UNICEF POLIO, EPI GRANT)","Health and Immunization Response Support (UNICEF Polio, EPI Grant)",Health,Baghdad,33.31892,44.40601,12264,COVID-19 control,122,I.2.b. Basic Health,2013-09-26 00:00:00,2023-09-30 00:00:00,"To implement activities designed to improve polio eradication efforts and routine immunization. Other MCH activities, e.g., Integrated Management of Childhood Illness (IMCI), micronutrient fortification and supplementation programs (specifically iodine and vitamin A) are supported under a separate agreement. Services Provided: This grant funds activities implemented through UNICEFs country, regional and headquarter offices in support of a wide range of MCH interventions. Country-specific proposals are needed to define the activities to be conducted in support of national programs and USAID mission strategic plans. In general, activities can focus on improving service delivery, planning and training, monitoring and evaluation, advocacy and communications, limited equipment procurement (e.g., cold chain) and policy development.","United States, Agency for International Development",66,16,66,837
2018,11,Switzerland,Swiss Agency for Development and Co-operation,2018009236,Iraq,Middle East,ODA Grants,1.288475,11,ACF WASH NINEWA,ACF WASH Ninewa,IT,Nineveh,36.34497,43.128,14031,Basic drinking water supply,140,I.4. Water Supply & Sanitation,2018-06-01 00:00:00,2020-05-31 00:00:00,"In 2018, Action Against Hunger (ACF), supported by the Swiss Agency for Development and Cooperation (SDC), implemented a Water, Sanitation, and Hygiene (WASH) project in Ninewa Governorate, Iraq. The initiative aimed to address the urgent need for water in Mosul city and surrounding areas, which had been severely affected by conflict. ACF's efforts included rehabilitating water supply systems, improving sanitation facilities, and promoting hygiene practices among displaced populations and host communities. The project reached thousands of individuals, contributing to the restoration of essential services and the improvement of public health in the region.","Switzerland, Swiss Agency for Development and Co-operation",15,27,15,0
2019,302,United States,Agency for International Development,2019021863,Iraq,Middle East,ODA Grants,1.27619,302,HUMANITARIAN INFORMATION AND COORDINATION MANAGEMENT,Humanitarian Information and Coordination Management,Public Administration,Baghdad,33.31892,44.40601,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2018-07-03 00:00:00,2020-07-02 00:00:00,"The Humanitarian Coordination and Information Management (HCIM) project in Iraq, funded by the U.S. Agency for International Development (USAID) in 2018, aimed to enhance the effectiveness and efficiency of humanitarian assistance during the complex emergency resulting from the Islamic State of Iraq and the Levant (ISIS) conflict. Implemented by various partners, including the UN Office for the Coordination of Humanitarian Affairs (OCHA), the HCIM initiative focused on improving coordination among humanitarian actors, streamlining information sharing, and supporting data-driven decision-making to address the needs of displaced and conflict-affected populations. The project operated across multiple governorates in Iraq, including Anbar, Baghdad, Basrah, Dohuk, Erbil, Kirkuk, Ninewa, Salah al-Din, and others, reflecting its nationwide scope.","United States, Agency for International Development",52,41,52,52
2023,5,Germany,Federal Ministry for Economic Cooperation and Development,2023002691,Iraq,Middle East,ODA Grants,1.265138,302,STRENGTHENING THE RESILIENCE OF CONFLICT-AFFECTED PEOPLE AND STABILISING COMMUNITIES BY CREATING RISK-SENSITIVE LIVELIHOODS,Strengthening the resilience of conflict-affected people and stabilising communities by creating risk-sensitive livelihoods,Industry,Nineveh,36.26608,41.82494,32130,Small and medium-sized enterprises (SME) development,321,III.2.a. Industry,2023-02-28 00:00:00,2029-04-30 00:00:00,Projects of private German NGOs in developing and refugee-relevant countries that meet the content requirements of SIGA are to be funded.,"Germany, Federal Ministry for Economic Cooperation and Development",123,52,123,137
2022,5,Germany,Federal Foreign Office,2022008747,Iraq,Middle East,ODA Grants,1.261962,302,"SUPPORT TO POPULATIONS AFFECTED BY EXPLOSIVE ORDNANCE, IRQ","Support to populations affected by explosive ordnance, IRQ",IT,Nineveh,36.01689,41.86673,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2022-07-01 00:00:00,2024-06-30 00:00:00,"Support to populations affected by explosive ordnance through a comprehensive approach including Clearance, Explosive Ordnance Risk education (EORE) and increased access to and quality of specialized health Services, IRQ. Safe access to mine free land is possible and access to specialised health care granted.","Germany, Federal Foreign Office",58,39,58,310
2021,302,United States,State Department,2021037101,Iraq,Middle East,ODA Grants,1.25,302,"BUREAU OF DEMOCRACY, HUMAN RIGHTS, AND LABOR - ENERGIZING REFORM IN IRAQ","Bureau of Democracy, Human Rights, and Labor - Energizing Reform in Iraq",Public Administration,Erbil,36.19027,44.01012,15112,Decentralisation and support to subnational government,151,I.5.a. Government & Civil Society-general,2021-09-15 00:00:00,2021-09-15 00:00:00,"The Bureau of Democracy, Human Rights, and Labor (DRL) initiated the ""Energizing Reform"" project in Iraq in 2021 to bolster citizen engagement in legislative processes. This initiative aimed to deepen political participation, foster dialogue, and enhance the technical and advocacy capacities of marginalized communities, particularly Sunni Muslims in regions like Mosul and Hamdaniyya. Implemented by the Institute for International Law and Human Rights (IILHR), PAX, Ceasefire, and PFO, the project focused on empowering local groups to influence policy by analyzing legal drafts, conducting advocacy campaigns, and facilitating grassroots consultations with lawmakers. The program operated in both Baghdad and Erbil, reflecting its national scope.","United States, State Department",72,54,72,217
2020,302,United States,State Department,2020027337,Iraq,Middle East,ODA Grants,1.25,302,U.S. DEPARTMENT OF STATE: BUREAU OF NEAR EASTERN AFFAIRS (NEA) - PEACE AND SECURITY - GENERAL: PROMOTING ACCOUNTABILITY IN IRAQ FOR CRIMES AGAINS,U.S. Department of State: Bureau of Near Eastern Affairs (NEA) - Peace and Security - General: Promoting Accountability in Iraq for Crimes Agains,IT,Baghdad,33.31892,44.40601,15210,Security system management and reform,152,"I.5.b. Conflict, Peace & Security",2020-09-29 00:00:00,2020-09-29 00:00:00,"In 2020, the U.S. Department of State's Bureau of Near Eastern Affairs (NEA) allocated funding to support the ""Promoting Accountability in Iraq for Genocide, Crimes Against Humanity, and War Crimes"" initiative. This project aimed to enhance Iraq's capacity to investigate and prosecute atrocity crimes committed by ISIS, including genocide, war crimes, and crimes against humanity. The initiative focused on strengthening the Iraqi judiciary, improving legal frameworks, and providing technical assistance to ensure accountability for perpetrators of these crimes. It also supported the United Nations Investigative Team to Promote Accountability for Crimes Committed by Daesh (UNITAD) in its efforts to collect and preserve evidence for use in prosecutions.","United States, State Department",145,37,145,271
2019,302,United States,State Department,2019028219,Iraq,Middle East,ODA Grants,1.25,302,"EXPORT CONTROL AND RELATED BORDER SECURITY ASSISTANCE, UNSPECIFIED","Export Control and Related Border Security Assistance, Unspecified",Public Administration,Basra,30.54987,47.66204,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,2019-01-01 00:00:00,2019-12-31 00:00:00,"In 2019, the U.S. Department of State's Bureau of International Security and Nonproliferation allocated funding to support the Export Control and Related Border Security (EXBS) program in Iraq. This initiative aimed to enhance Iraq's capabilities in preventing the illicit trade of weapons of mass destruction (WMD), dual-use technologies, and other sensitive materials. The program provided technical assistance, training, and equipment to Iraqi border security agencies to strengthen their enforcement and compliance with international export control regimes. A notable component of this effort was the $5 million airport security program launched in 2019, which focused on improving security measures at key airports in Iraq, including Basrah International Airport and Erbil International Airport. This program aimed to bolster Iraq's capacity to detect and prevent the illicit movement of sensitive materials through its air borders.","United States, State Department",66,30,66,89
2018,10,Sweden,Swedish International Development Authority,2018067100S,Iraq,Middle East,ODA Grants,1.247676,10,OXFAM GB - HUMANITARIAN SUPPORT 2018-2021 - OXFAM - HUMANITARIAN ASSISTANCE 2018-2020,Oxfam GB - Humanitarian Support 2018-2021 - Oxfam - Humanitarian Assistance 2018-2020,Public Administration,Salahaldin,34.58907,43.68285,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2018-03-23 00:00:00,2021-12-31 00:00:00,"This assessment forms the basis for a new three-year agreement between Oxfam GB and Sida to support Oxfam GB's humanitarian programme from 1 April 2018 to 31 March 2021, where additional contributions will be added to the agreement, subject to funds availability, governmental appropriations and Sida needs assessments.In 2018, more than 135 million people will be in need of humanitarian assistance globally to a cost of 22.5 billion dollar, according to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA). Sweden's humanitarian assistance is needs-based and Sida each year undertakes a humanitarian allocation process in which all humanitarian crises are analysed, and where the partners most relevant to respond to the identified needs are selected.A number of the identified global needs for 2018 are found in protracted and forgotten crises, and Sida believes that Oxfam GB is well positioned to respond to these needs as the organization is also working with long-term development cooperation. Moreover, Oxfam GB has extensive knowledge of the local context in all proposed projects and capacity building of local actors is central to Oxfam GB's humanitarian work. In 2018-2021, it is therefore suggested that Oxfam GB receives support for emergency lifesaving activities as well as funding for longer-term activities aimed at strengthening societies' resilience to crises and disasters.Oxfam GB has in previous collaborations with Sida demonstrated that the organisation is a professional and efficient humanitarian actor, most recently in the agreements during 2011-2013 and 2014-2017. In 2016 alone, Oxfam GB managed to reach 1.2 million people with humanitarian support in the sector of WASH, 94,000 people with food security and livelihood interventions and 106,000 people with protection assistance in conflict-affected settings. In line with this, Sida believes that Oxfam GB has an added value when it comes to activities of food security and livelihoods, WASH and protection. Moreover, Sida assesses that Oxfam GB's planned projects are relevant in accordance with Sida's Humanitarian Crisis Analyses (HCA) that form the basis for the allocation of a majority of the humanitarian funds for 2018 and contribute to the achievement of the goals of the Strategy for Sweden's humanitarian aid provided through the Swedish International Development Cooperation Agency (Sida) 2017??020. Sida therefore proposes to support Oxfam GB's humanitarian projects to a cost of 104 MSEK.In 2018-2021, Oxfam GB plans to reach over 280,000 people in Algeria, the Central African Republic, the Democratic Republic of Congo, Iraq and Chad. The contribution will consist of four components focusing on emergency life-saving activities, multi-year resilience building projects, the possibility to respond to sudden onset or deteriorating humanitarian emergencies during the year through the Rapid Response Mechanism, as well as support to method development of cash-based programmi","Sweden, Swedish International Development Authority",85,39,85,3000
